	rab.all	rab.win.Dalhousie	rab.win.PaloAlto	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
cba4c8646a5b6bcdedfc2969d8ff68b1	-0.0150986234667663	-0.0603058878393039	0.088432835130952	0.15219165226417	4.14457335544182	0.030351294055084	0.484809028016471	0.511083785182667	0.683708154022658	0.503089901517947	0.669576631681254
9e6cdee8562991fdaf263d67b982c3e5	-0.0556807972431592	-0.0467556903888875	-0.0721979912076485	-0.167469075973906	4.19951580189189	-0.0313074246571289	0.483072916932699	0.513221787980662	0.697554580795602	0.543409466738071	0.704285941348713
bd2b5a9e078b6508cf81e657c94081c6	0.121669219226628	-0.208635788455737	1.10292109170434	2.08134302235694	5.55344257744236	0.346448876006874	0.34635416933016	0.0305744139141035	0.0935552525998823	0.03622562770676	0.100410318665348
55e2c2a0f0c51de077aad6498c89a372	0.0110944419959251	-0.126232698505075	0.345374713455265	0.523701328538145	4.37343164376925	0.10594745527181	0.444685467255783	0.359266992199451	0.542064618029201	0.334882137860747	0.500142220871573
cebfbb61a1c8e7c17db32efafe3405b0	-0.103903178317616	-0.102267006483288	-0.10836423007826	0.0657950778577554	4.25482644869677	0.0155213003137432	0.49370932764749	0.506736963447671	0.681018892835639	0.488847709576335	0.656385056567088
37243f8ac275a8cded39178bc8914209	0.122789103656877	-0.089326825091077	0.707318300419358	0.918601196455218	4.35356257020337	0.169462942124166	0.414496529160475	0.291881434959881	0.464270839722694	0.228092201973906	0.382267768204661
b364c229b03903a3ea6a404b16c8a0f8	-0.0779395601661443	-0.2051355820487	0.227802831036433	0.534719881284142	4.40402598237503	0.101353690173778	0.443817788311126	0.421230532847208	0.593918364443025	0.392627990052155	0.560701074757655
7fb9d763798233f762510dfbed603035	0.00556241269676416	0.0764479421861362	-0.141676815080689	-0.266976213779881	4.41990397014863	-0.0478837396721925	0.472885032964506	0.478490111511582	0.664138270344098	0.495359264153625	0.657703795797372
d4bc99f9c23d87e583a16e21e92f0741	0.0580595071859404	-0.204913365915559	0.670769568807284	0.928901089418853	4.39935312911994	0.184027808062153	0.402169198992495	0.27036069084326	0.436634590657981	0.18696459004012	0.334310879860352
eaa9281d41f76aa227f4bac1b006fb08	-0.0178049756586329	-0.179521811878137	0.356066998001647	0.650372521012145	4.21406504782484	0.131761796075522	0.437310196226742	0.385308657808197	0.55593593567483	0.380157590718021	0.534327700476566
54af2af5d8a0990459bd4ee26dad9529	0.29847352754515	-0.161600545193562	1.68171691465662	2.28922621873203	5.00528080420946	0.422318148261112	0.316702823277939	0.026083831517942	0.0830057282378016	0.0111030114551381	0.0401889800154388
03066b5d350a17b0e4d837bdb6318f0d	-0.0527625561027429	-0.130806165116748	0.135769984996516	0.391924993575588	4.16402785944663	0.0782918806142622	0.456832972482581	0.456455556828904	0.614116475282918	0.442515367459477	0.599179624743397
9f113cba649bac59d013ebf6e570932e	-0.0285627261259256	-0.133944700003894	0.25026055848382	0.460190583978751	4.45140205367274	0.0912422802929298	0.456597222908747	0.450817615602969	0.623881952651479	0.385272588176619	0.563767712539231
7ae7579cfab2fecb2f519335c0870aa6	-0.0955105482661081	-0.137053295515317	0.00256277217745726	0.338392109644559	4.27001075563538	0.0718735401462277	0.465075922459354	0.471011742060941	0.635918711675095	0.471958089291611	0.631582988407258
34d77ba02c033f4bcc0a2497d5448e43	-0.0820131313152004	-0.115683184793538	0.00407583870044359	0.112010702214027	4.32497788777038	0.0233990368633904	0.487201735558786	0.471858635326784	0.648696178863395	0.475417769869219	0.640248158461935
793f86caba96ca9145e189abe137f5bd	-0.0953234931754139	-0.200682689278903	0.14261210104586	0.4052947701233	4.45453257616034	0.0759477199820199	0.461605206679536	0.473393604289703	0.647390476399064	0.457547676306389	0.619734692150587
